Soil_type,Nspt,Fluid_system,c/w,grout_density,grout_viscosity,Energy,Diameter
Coarse,15,T,1,1500,9.5,44.55,3
Coarse with fine,13,T,1,1500,9.5,44.55,2.6
Fine,2,T,1,1500,9.5,51.14,3.3
Fine,19,T,1,1500,9.5,51.14,1.2
Coarse with fine,39,T,0.9,1462,7.1,62.43,2.3
Coarse with fine,30,T,0.9,1462,7.1,62.43,2
Coarse with fine,5,T,1,1500,9.5,22.57,2.62
Coarse with fine,5,T,1,1500,9.5,34.39,2.62
Coarse with fine,5,T,1,1500,9.5,52.37,2.62
Fine,5,T,1,1500,9.5,10.05,1.1
Fine,10,T,1,1500,9.5,18.46,1.1
Coarse with fine,13,T,1.1,1537,12.5,67.13,2.5
Coarse with fine,13,T,1,1500,9.5,197.58,2.5
Coarse with fine,13,T,1,1500,9.5,142.07,2.5
Coarse with fine,13,T,1,1500,9.5,82.06,2.5
Coarse with fine,12,T,0.85,1462,7.1,292.27,3
Fine,1,T,1,1500,7.1,22.02,1.8
Coarse with fine,8,D,1.1,1537,12.5,86.86,2
Coarse with fine,8,D,1,1500,9.5,168.78,2.5
Coarse with fine,8,D,1,1500,9.5,68.9,2.5
Fine,3,D,2.16,1837,82.6,43.65,1.6
Coarse with fine,8,D,2.16,1837,82.6,43.65,1.6
Coarse,18,D,2.16,1837,82.6,43.65,1.6
Coarse,27,D,2.16,1837,82.6,43.65,1.6
Fine,5,D,0.5,1286,1.4,12.24,1.2
Fine,10,D,0.5,1286,1.4,29.18,1.6
Coarse with fine,20,D,0.5,1286,1.4,12.24,1.4
Coarse with fine,1,S,1.6,1696,35.6,31.59,1.8
Fine,2,D,1,1500,9.5,61.01,1.7
Fine,5,D,1,1500,9.5,61.01,1.7
Fine,2,D,1,1500,9.5,61.01,1.7
Fine,5,D,1,1500,9.5,61.01,1.7
Fine,2,D,1,1500,9.5,61.01,1.7
Fine,5,D,1,1500,9.5,61.01,1.7
Fine,2,D,1,1500,9.5,40.67,1.4
Fine,5,D,1,1500,9.5,61.01,1.4
Fine,5,D,1,1500,9.5,40.67,1.4
Fine,5,D,1,1500,9.5,40.67,1.4
Coarse with fine,15,D,1,1500,9.5,61.01,1.7
Coarse with fine,15,D,1,1500,9.5,61.01,1.7
Coarse with fine,15,D,1,1500,9.5,61.01,1.7
Coarse,9,S,1.25,1588,17.8,63.99,1.2
Coarse,9,S,1.25,1588,17.8,39.08,1.3
Coarse,14,S,1,1500,9.5,15.52,1.2
Coarse,14,S,1,1500,9.5,11.58,1.1
Coarse,14,S,1,1500,9.5,9.7,0.9
Coarse,10,D,1,1500,9.5,354.9,3.53
Coarse,10,D,1,1500,9.5,450.24,3.92
Coarse,10,D,1,1500,9.5,587.25,4.55
Coarse,10,D,1,1500,9.5,337.68,4.65
Coarse with fine,10,S,1,1500,9.5,3.63,0.6
Coarse with fine,5,D,1,1500,9.5,65.87,2
Coarse with fine,5,D,1,1500,9.5,76.37,3
Fine,24,S,0.8,1421,5.1,7.36,0.38
Fine,24,S,1,1500,9.5,9.06,0.48
Coarse,5,S,1,1500,9.5,4.27,1
Coarse,5,S,1,1500,9.5,3.39,1
Coarse,5,S,1,1500,9.5,3.63,1.1
Coarse with fine,3,S,1.6,1696,35.6,62.22,1.5
Coarse with fine,3,S,1.6,1696,35.6,62.22,1.5
Coarse with fine,15,S,1,1500,9.5,9.5,0.66
Coarse with fine,15,S,1,1500,9.5,19.58,0.96
Coarse with fine,15,S,1,1500,9.5,13.74,0.75
Coarse with fine,15,S,1,1500,9.5,19.58,0.97
Coarse with fine,15,S,1,1500,9.5,13.68,0.71
Coarse with fine,15,S,1,1500,9.5,24.48,1.11
Coarse with fine,15,S,1,1500,9.5,24.48,0.95
Coarse,15,S,0.83,1433,5.7,18.5,1.2
Coarse,15,S,1,1500,9.5,18.08,1.1
Coarse with fine,40,S,0.8,1500,9.5,163.9,1.2
Coarse with fine,3,S,1,1500,9.5,21.32,1.5
Coarse with fine,3,S,1,1500,9.5,103.19,2
Coarse,13,S,1,1500,9.5,23.9,1.13
Coarse,13,S,1,1500,9.5,11.7,0.94
Coarse,13,S,1,1500,9.5,8.4,0.9
Coarse,13,S,1,1500,9.5,6.8,0.78
Coarse,13,S,1,1500,9.5,23.9,1.13
Coarse,13,S,1,1500,9.5,11.7,0.98
Coarse,13,S,1,1500,9.5,8.4,0.9
Coarse,13,S,1,1500,9.5,6.8,0.86
Coarse,5,S,0.75,1400,4.3,57.8,1.93
Coarse,5,S,0.75,1400,4.3,52,1.89
Coarse,5,S,0.75,1400,4.3,66.6,2
Coarse,5,S,0.75,1400,4.3,71.4,2.03
Coarse,5,S,0.75,1400,4.3,66.6,2
Coarse,5,S,0.75,1400,4.3,71.4,2.03
Coarse,25,S,1,1500,9.5,24.6,1.2
Coarse,25,S,1,1500,9.5,16.5,0.9
Coarse,25,S,1,1500,9.5,20.7,1.2
Coarse,25,S,1,1500,9.5,16.5,1
Coarse,18,S,0.8,1421,5.1,47.43,1.56
Coarse,18,S,0.8,1421,5.1,42.57,1.5
Coarse,13,D,1,1500,9.5,23.9,1.75
Coarse,13,D,1,1500,9.5,8.4,1.61
Coarse,13,D,1,1500,9.5,23.9,1.73
Coarse,13,D,1,1500,9.5,8.4,1.58
Coarse,13,D,1,1500,9.5,11.7,1.54
Coarse,13,D,1,1500,9.5,7.2,1.35
Coarse,13,D,1,1500,9.5,11.7,1.88
Coarse,13,D,1,1500,9.5,6.8,1.63
Coarse,5,D,0.75,1400,4.3,61.8,3.44
Coarse,5,D,0.75,1400,4.3,89.1,3.6
Coarse,5,D,0.75,1400,4.3,67.7,3.45
Coarse,5,D,0.75,1400,4.3,71.6,3.18
Coarse,5,D,0.75,1400,4.3,67.7,3.37
Coarse,5,D,0.75,1400,4.3,71.6,3.12
Coarse,5,D,0.75,1400,4.3,67.7,3.2
Coarse,5,D,0.75,1400,4.3,71.6,2.97
Coarse,20,S,1,1500,9.5,8.2,0.97
Coarse,14,S,0.83,1433,5.7,16.9,1.11
Coarse,14,S,1.25,1588,17.8,16.9,1.11
Coarse,28,S,0.83,1433,5.7,15.2,1
Coarse,28,S,1.25,1588,17.8,15.2,1
Coarse,23,S,0.66,1361,3,15.4,0.76
Coarse,34,S,0.66,1361,3,29.4,1.08
Fine,10,S,1,1500,9.5,6.7,0.38
